Country Name,"Out-of-school children, one year younger than official primary entry age, female (number) - 2018","Out-of-school children, one year younger than official primary entry age, male (number) - 2018","Out-of-school rate for children one year younger than official age, adjusted gender parity index (GPIA) - 2018","Out-of-school rate for children one year younger than official primary entrance age, both sexes (%) - 2018","Out-of-school rate for children one year younger than official primary entrance age, female (%) - 2018","Out-of-school rate for children one year younger than official primary entrance age, male (%) - 2018","School life expectancy, pre-primary, female (years) - 2018","School life expectancy, pre-primary, gender parity index (GPI) - 2018","School life expectancy, pre-primary, male (years) - 2018","Proportion of primary schools with access to adapted infrastructure and materials for students with disabilities (%) - 2018","Proportion of primary schools with access to basic drinking water (%) - 2018","Proportion of primary schools with access to computers for pedagogical purposes (%) - 2018","Proportion of primary schools with access to electricity (%) - 2018","Proportion of primary schools with access to Internet for pedagogical purposes (%) - 2018","Proportion of primary schools with basic handwashing facilities (%) - 2018","Proportion of primary schools with single-sex basic sanitation facilities (%) - 2018","Official entrance age to primary education (years) - 2018","Percentage of primary schools providing life skills-based HIV and sexuality education - 2018","Percentage of students in primary education who have their first or home language as language of instruction, adjusted gender parity index (GPIA) - 2018","Percentage of students in primary education who have their first or home language as language of instruction, adjusted location parity index (LPIA) - 2018","Percentage of students in primary education who have their first or home language as language of instruction, adjusted wealth parity index (WPIA) - 2018","Percentage of students in primary education who have their first or home language as language of instruction, female (%) - 2018","Percentage of students in primary education who have their first or home language as language of instruction, male (%) - 2018","Theoretical duration of primary education (years) - 2018","School life expectancy, primary, female (years) - 2018","School life expectancy, primary, male (years) - 2018","Out-of-school adolescents and youth of secondary school age, female (number) - 2018","Out-of-school adolescents and youth of secondary school age, male (number) - 2018","Out-of-school rate for adolescents of lower secondary school age, male (%) - 2018","School life expectancy, post-secondary non-tertiary, both sexes (years) - 2018","School life expectancy, post-secondary non-tertiary, female (years) - 2018","School life expectancy, primary to tertiary, female (years) - 2018","School life expectancy, primary to tertiary, male (years) - 2018","School life expectancy, tertiary, female (years) - 2018","School life expectancy, tertiary, male (years) - 2018","Government expenditure on education, constant US$ (millions) - 2018","Government expenditure on education not specified by level, US$ (millions) - 2018","Adult illiterate population, 15+ years, female (number) - 2018","Adult illiterate population, 15+ years, male (number) - 2018","Official entrance age to compulsory education (years) - 2018","Duration of compulsory education (years) - 2018"
Afghanistan,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","59.62904","NA","NA","NA","4.63701","25.66295","7","NA","NA","NA","NA","NA","NA","6","4.98383","7.47084","NA","NA","NA","0.13261","0.09464","7.71647","12.55983","0.24525","0.7104","NA","NA","7205193","4848681","7","9"
Albania,"NA","NA","NA","NA","NA","NA","2.45112","1.01055","2.42554","5.06266","54.98747","50.37594","94.08521","46.76692","71.02757","82.75689","6","79.09774","NA","NA","NA","NA","NA","5","5.42771","5.21853","9505","16981","5.22058","NA","NA","15.50103","13.95683","3.4352","2.15739","NA","NA","26296","17818","6","9"
Algeria,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","0","NA","NA","NA","NA","NA","5","5.4043","5.71712","NA","NA","NA","NA","NA","NA","NA","3.22104","1.94159","NA","NA","3618525","1865624","6","10"
American Samoa,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"NA","NA","NA","NA","NA","NA","NA","NA","NA","100","100","100","100","100","100","100","6","100","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","98.9551","37.12919","NA","NA","6","10"
Angola,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6"
Antigua and Barbuda,"30","99","0.31241","8.93352","4.21941","13.50614","1.47973","1.11137","1.33145","5","100","90","100","90","100","100","5","100","NA","NA","NA","NA","NA","7","7.31231","7.37311","208","222","0.9962","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","11"
Argentina,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","162623","170377","4","14"
Armenia,"10176","12415","0.93045","52.464","50.45867","54.23055","1.19179","1.08474","1.09869","NA","NA","100","100","100","NA","NA","6","0","NA","NA","NA","NA","NA","4","3.71493","3.71496","NA","NA","8.97906","NA","NA","13.60293","12.5846","3.13242","2.35596","NA","NA","NA","NA","6","12"
Aruba,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1014","894","4","13"
