Time,"Country Name","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Children out of school (% of primary school age)","Compulsory education, duration (years)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Expenditure on secondary education (% of government expenditure on education)","Expenditure on tertiary education (% of government expenditure on education)","Literacy rate, adult total (% of people ages 15 and above)","Government expenditure per student, tertiary (% of GDP per capita)","Government expenditure on education, total (% of government expenditure)","Trained teachers in primary education (% of total teachers)","Gini index","Social contributions (% of revenue)","Expense (% of GDP)","Government Effectiveness: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate","Average working hours of children, study and work, female, ages 7-14 (hours per week)","Average working hours of children, study and work, male, ages 7-14 (hours per week)","Child employment in manufacturing (% of economically active children ages 7-14)","Child employment in agriculture (% of economically active children ages 7-14)","Tax revenue (% of GDP)"
2022,"Afghanistan","NA","NA","NA","9","NA","3.98425006866455","21.0254802703857","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-1.88003480434418","-2.54495596885681","NA","NA","NA","NA","NA"
2022,"Albania","NA","2.74965013841179","8.47796728855099","9","89.3625717163086","19.8346436163563","97.8531397166699","0.239959336744538","NA","NA","NA","NA","9.01408958435059","NA","NA","22.3221999243625","27.0031538353567","0.0645405352115631","0.106261312961578","NA","NA","NA","NA","18.0607786802299"
2022,"Algeria","NA","6.20707957400745","2.13045046735116","10","NA","NA","NA","NA","NA","NA","NA","NA","13.101506524289","95.5545501708984","NA","NA","NA","-0.51349949836731","-0.650652348995209","NA","NA","NA","NA","NA"
2022,"American Samoa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.66762912273407","1.12317395210266","NA","NA","NA","NA","NA"
2022,"Andorra","NA","6.19946002960205","6.75347995758057","10","98.7166976928711","25.0400009155273","99.1500015258789","0.449999988079071","NA","NA","NA","NA","6.96128988265991","100","NA","32.7298219372679","NA","1.49526071548462","1.58598840236664","NA","NA","NA","NA","14.9845975416716"
2022,"Angola","NA","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","6.64047212078077","NA","NA","NA","NA","-1.02603423595428","-0.630108535289764","NA","NA","NA","NA","NA"
2022,"Antigua and Barbuda","NA","5.63364665500828","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","7.80537969275292","NA","NA","NA","NA","-0.160002663731575","0.938082098960876","NA","NA","NA","NA","NA"
2022,"Argentina","NA","0.995725443580191","0.747436006133423","14","94.4647521972656","NA","NA","NA","NA","NA","NA","NA","12.7075796127319","NA","40.7","28.7568970981421","21.9068187207194","-0.28348970413208","-0.0985943302512169","NA","NA","NA","NA","11.0858180930687"
2022,"Armenia","NA","4.7640669927756","5.35996515462635","12","92.0447463989258","24.2985191345215","99.6643218994141","1.15210010967844","NA","NA","99.8199996948242","NA","9.4465503692627","81.2841703750795","27.9","NA","21.1627548327889","-0.314792364835739","-0.740756273269653","NA","NA","NA","NA","21.8271552378304"
2022,"Aruba","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.10521340370178","1.48307979106903","NA","NA","NA","NA","NA"
2022,"Australia","NA","1.64652001857758","0.296409994363785","11","NA","36.8400001525879","99.5250507544171","1.85000002384186","NA","NA","NA","NA","12.6520795822144","NA","NA","NA","27.6611156622091","1.52843272686005","0.983715951442719","NA","NA","NA","NA","23.6279512463691"
2022,"Austria","NA","1.64181995391846","1.67592000961304","13","92.1629409790039","NA","100","NA","NA","NA","NA","NA","9.93358039855957","NA","30.9","32.9825386332311","47.509529668642","1.46492278575897","0.648710012435913","NA","NA","NA","NA","26.206863593528"
2022,"Azerbaijan","NA","12.9549746759378","4.21760629945864","9","90.413818359375","NA","NA","NA","NA","NA","NA","NA","11.6396102905273","99.769573711366","NA","10.2575131350094","23.0088211493834","-0.0412070974707603","-0.922807276248932","NA","NA","NA","NA","15.4476897158899"
2022,"Bahamas, The","NA","NA","NA","12","NA","NA","NA","NA","NA","NA","NA","NA","10.3566126185111","NA","NA","NA","22.3247708393299","0.423950403928757","0.881239235401154","NA","NA","NA","NA","15.5305623380922"
2022,"Bahrain","NA","0.160999451436923","3.24484274602638","9","NA","29.7800006866455","90.0400009155273","0.600000023841858","NA","NA","97.870002746582","NA","7.66017986372767","100","NA","NA","NA","0.639720022678375","-0.362905442714691","NA","NA","NA","NA","NA"
2022,"Bangladesh","NA","24.7300495499887","7.28624245991406","5","NA","7.5711943437389","54.6803894042969","0.0570131561266709","NA","NA","79","NA","12.4040438079191","73.6041840704256","30.9","NA","NA","-0.763355314731598","-1.046462059021","NA","NA","NA","NA","NA"
2022,"Barbados","NA","3.9381537062301","12.0881905727319","11","98.8011474609375","NA","NA","NA","NA","NA","NA","NA","12.7307195663452","75.829680651221","NA","NA","NA","0.428394287824631","1.14464545249939","NA","NA","NA","NA","NA"
2022,"Belarus","NA","2.65632179184986","5.30326525187187","11","93.6713409423828","NA","99.8865606695736","NA","NA","NA","NA","NA","12.1897497177124","99.3698411289607","NA","37.1143521738611","28.2689984078899","-0.851723372936249","-0.802096605300903","NA","NA","NA","NA","11.2335456198223"
2022,"Belgium","NA","1.27794003486633","1.224249958992","13","95.4406433105469","36.307492413537","95.9781781143468","0.958095064170155","NA","NA","NA","NA","12.0173597335815","NA","26.4","35.4512703233125","39.5682713023795","1.22718644142151","0.581981599330902","NA","NA","NA","NA","22.7011914803787"
2022,"Belize","NA","5.23494909997977","8.09312885347341","8","NA","7.01000022888184","93.6500015258789","0.280000001192093","NA","NA","87.879997253418","NA","17.8313503265381","88.1410256410256","NA","NA","NA","-0.356684654951096","0.564006090164185","NA","NA","NA","NA","NA"
2022,"Benin","NA","47.1664009094238","9.61021041870117","6","NA","3.85361003875732","22.5984802246094","NA","NA","NA","51.3800010681152","NA","14.9914706871899","NA","NA","NA","NA","-0.170590236783028","-0.34320268034935","NA","NA","NA","NA","NA"
2022,"Bermuda","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.21938359737396","1.02404379844666","NA","NA","NA","NA","NA"
2022,"Bhutan","NA","12.5199046267814","10.0414276444747","NA","NA","8.48408985137939","37.308521270752","NA","NA","NA","64.9100036621094","NA","22.1064354322847","100","28.5","NA","NA","0.56129378080368","1.00934255123138","NA","NA","NA","NA","NA"
