Country Name,"Life expectancy at birth, female (years) - 2019","Life expectancy at birth, male (years) - 2019","Mortality caused by road traffic injury (per 100,000 population) - 2019","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) - 2019","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%) - 2019","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) - 2019","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) - 2019","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) - 2019","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) - 2019","Mortality rate, adult, female (per 1,000 female adults) - 2019","Mortality rate, adult, male (per 1,000 male adults) - 2019","Mortality rate, infant, female (per 1,000 live births) - 2019","Mortality rate, infant, male (per 1,000 live births) - 2019","Mortality rate, neonatal (per 1,000 live births) - 2019","Mortality rate, under-5, female (per 1,000 live births) - 2019","Mortality rate, under-5, male (per 1,000 live births) - 2019","Number of infant deaths - 2019","Number of neonatal deaths - 2019","Suicide mortality rate, female (per 100,000 female population) - 2019","Suicide mortality rate, male (per 100,000 male population) - 2019","Survival to age 65, female (% of cohort) - 2019","Survival to age 65, male (% of cohort) - 2019"
Afghanistan,"66.144","59.91","15.9","34.2","34.7","265","265.2","2.47","3.3","196.012","315.945","53.1","60.6","37.8","59.2","67.2","78618","53121","2.37","4.66","67.952078","54.744389"
Albania,"81.06","77.834","11.7","5.8","16.9","94.2","89.3","0.24","0.35","47.96","94.919","7.1","8.7","7.1","8.7","10","249","221","2.7","4.89","91.402342","84.561379"
Algeria,"77.091","74.35","20.9","12.8","15.1","45","54.7","0.4","0.6","72.473","89.236","18.9","22.4","15.8","21.3","25.1","20965","16036","1.41","2.66","86.581483","83.283355"
American Samoa,"75.723","70.105","NA","NA","NA","NA","NA","NA","NA","118.327","207.73","NA","NA","NA","NA","NA","NA","NA","NA","NA","82.331545","69.50353"
Andorra,"86.101","82.183","NA","NA","NA","NA","NA","NA","NA","27.419","42.064","2.5","3.2","1.5","2.6","3.3","2","1","NA","NA","95.092909","92.242757"
Angola,"65.506","60.609","26.1","22.2","27.3","121.4","168","0.84","1.23","201.372","287.423","38.7","48.6","27.9","68.4","79.8","55030","35625","3.4","11.73","66.647722","56.034941"
Antigua and Barbuda,"79.844","74.143","0","17.7","19.5","17.6","21.2","0.005","0.63","90.746","130.309","7.3","8.7","6","9.3","11.2","8","6","0","0","86.572816","79.000184"
Argentina,"79.439","74.163","14.1","12.3","19.1","23","38.7","0.29","0.54","84.846","130.712","8.1","9.7","6.1","9.5","11.4","5829","3838","3.47","15.18","86.163347","79.063172"
Armenia,"79.5","73.1","20","12.5","29.7","57.3","98.3","1.07","2.05","60.884","184.204","9.6","11.7","6.4","10.9","13.3","385","229","0.48","5.28","88.931213","72.402879"
Aruba,"78.814","73.047","NA","NA","NA","NA","NA","NA","NA","59.787","126.903","NA","NA","NA","NA","NA","NA","NA","NA","NA","89.192639","79.208121"
