Time,"Country Name","Agricultural land (% of land area)","Aquaculture production (metric tons)","Energy imports, net (% of energy use)","Fertilizer consumption (% of fertilizer production)"
2022,"Afghanistan","58.7415482268525","11150","NA","248.022811305383"
2022,"Albania","41.4452554744526","8908","32.276396797251","NA"
2022,"Algeria","17.351348174024","5208","-127.243586824875","14.4756415024173"
2022,"American Samoa","14.5","18","NA","NA"
2022,"Andorra","39.9068085106383","0","NA","NA"
2022,"Angola","36.9471404507901","2336","-353.971819384273","NA"
2022,"Antigua and Barbuda","20.4545454545455","20","NA","NA"
2022,"Argentina","43.4276443440799","6022.03","1.95855821220972","464.863734066567"
2022,"Armenia","58.6134209413894","24000","76.8721086405015","NA"
2022,"Aruba","11.1111111111111","1.5","NA","NA"
2022,"Australia","47.2592374954823","125280.531","-234.279345921201","337.180374722401"
2022,"Austria","31.4765838584586","4718.718","76.8111846576124","NA"
2022,"Azerbaijan","57.8402903811252","3348.35","-263.127536733691","31.2436208749483"
2022,"Bahamas, The","1.2987012987013","1","NA","NA"
2022,"Bahrain","10.253164556962","56","-45.4751316679306","0.0616133354606148"
2022,"Bangladesh","72.3706433287272","2731563","44.3070258449266","665.640670932042"
2022,"Barbados","23.2558139534884","5.5","NA","NA"
2022,"Belarus","39.8738854130745","7164.4","77.0799482437318","12.539581390488"
2022,"Belgium","44.5661441595068","243","86.7619440824458","17.891934321776"
2022,"Belize","7.97895659798334","730","NA","NA"
2022,"Benin","43.0623652004257","3050","40.9031703802238","NA"
2022,"Bermuda","5.55555555555556","0","NA","NA"
2022,"Bhutan","13.7257472469848","95","NA","NA"
2022,"Bolivia","35.8307014677375","21483","-67.3339047798362","21.3743427375577"
2022,"Bosnia and Herzegovina","21.81640625","3959.9","26.3680612308532","265.456505791471"
2022,"Botswana","45.63372328975","171","23.6817784648472","NA"
2022,"Brazil","28.3267329812614","738981","-7.28721052757992","663.029699700089"
2022,"British Virgin Islands","46.6666666666667","1","NA","NA"
2022,"Brunei Darussalam","2.5426944971537","5018.305","-172.552632157863","NA"
2022,"Bulgaria","46.2601326455416","9005.957","37.9626610649135","80.2748273501921"
2022,"Burkina Faso","53.3497394005848","894","NA","NA"
2022,"Burundi","82.8079633956386","540","NA","NA"
2022,"Cabo Verde","19.6029776674938","35","NA","NA"
2022,"Cambodia","34.8115777249037","330600","NA","NA"
2022,"Cameroon","20.8921205390197","8224","-28.7126841321204","NA"
2022,"Canada","6.49436207857817","167770","-89.4880948333503","26.4753457191702"
2022,"Cayman Islands","11.25","88","NA","NA"
2022,"Central African Republic","9.04218433978619","350","NA","NA"
2022,"Chad","39.9761753494282","120","-177.762640714933","NA"
2022,"Channel Islands","NA","1190","NA","NA"
2022,"Chile","14.3199327104591","1524149","66.2732116154234","27.5316037582021"
2022,"China","55.4326117545304","75434999","20.6245589248584","88.9596042512191"
2022,"Colombia","37.6412798557909","204941.99","-139.124198035696","411.627589063795"
2022,"Comoros","71.4669532509404","0","NA","NA"
2022,"Congo, Dem. Rep.","15.3036258573918","5295","1.59626553466334","NA"
2022,"Congo, Rep.","31.1897510980966","976.6","-347.419865428152","NA"
2022,"Costa Rica","33.1439992166079","16772.41","53.0802332296344","NA"
2022,"Cote d'Ivoire","84.1568125786164","7957","14.3786092266282","NA"
2022,"Croatia","25.8756254467477","27217.793","61.8955356886193","211.217319780829"
2022,"Cuba","61.6666666666667","15542.4","62.8133332274217","763.22740203604"
2022,"Curacao","NA","0","NA","NA"
2022,"Cyprus","13.3160497835498","7605.4","117.037858353679","NA"
2022,"Czechia","45.7476202749375","19259","42.0233637396692","290.185283984277"
2022,"Denmark","65.6","37922.2","47.3957198205642","NA"
2022,"Djibouti","73.5030198446937","0","NA","NA"
2022,"Dominica","33.3333333333333","2.5","NA","NA"
2022,"Dominican Republic","54.6941243644449","3750","94.4206892076641","NA"
2022,"Ecuador","21.5332581736189","1123048","-69.401314941725","NA"
2022,"Egypt, Arab Rep.","4.07654829474107","1552430","9.78510684497825","45.2683461117196"
2022,"El Salvador","57.707528957529","12919","59.5054447583379","NA"
2022,"Equatorial Guinea","3.74046345811052","19","-422.769233942919","NA"
2022,"Eritrea","62.6515330315189","4","NA","NA"
2022,"Estonia","23.075122864498","800.819","6.83363931718332","22973.7101295553"
2022,"Eswatini","69.4767441860465","60","20.5529558411835","NA"
2022,"Ethiopia","34.0779564851996","1070","10.7924961213427","NA"
